nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.3
50,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.7
50,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.1
50,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.2
50,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
50,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.6
50,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
50,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
50,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.0
50,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.1
50,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.2
50,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.3
50,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.3
50,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.3
50,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.3
50,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.2
50,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.1
51,119,0.0,0.0,0.0,90.0,1.0,24.0,0.1
51,120,0.0,0.0,0.0,90.0,1.0,24.0,0.1
51,121,0.0,0.0,0.0,90.0,1.0,24.0,0.3
51,122,0.0,0.0,0.0,90.0,1.0,24.0,0.4
51,123,0.0,0.0,0.0,90.0,1.0,24.0,0.5
51,124,0.0,0.0,0.0,90.0,1.0,24.0,0.6
51,125,0.0,0.0,0.0,95.0,1.0,22.0,0.7
51,126,0.0,0.0,0.0,95.0,1.0,22.0,0.6
51,127,0.0,0.0,0.0,95.0,1.0,22.0,0.6
51,128,0.0,0.0,0.0,95.0,1.0,23.0,0.5
51,129,0.0,0.0,0.0,95.0,1.0,22.0,0.4
51,130,0.0,0.0,0.0,95.0,1.0,22.0,0.4
51,131,0.0,0.0,0.0,95.0,1.0,21.0,0.4
51,132,0.0,0.0,0.0,95.0,1.0,18.0,0.2
51,133,0.0,0.0,0.0,95.0,1.0,20.0,0.3
51,134,0.0,0.0,0.0,90.0,1.0,22.0,0.4
51,135,0.0,0.0,0.0,90.0,1.0,22.0,0.5
52,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
52,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
52,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
52,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.5
52,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.5
52,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.3
52,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.3
52,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.2
52,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.1
52,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.1
52,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.9
52,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.8
52,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.7
52,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.6
52,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.5
52,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.4
53,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
53,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
53,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
53,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
53,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.0
53,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.2
53,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.3
53,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.4
53,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.6
54,119,0.0,0.0,0.0,90.0,1.0,23.0,0.7
54,120,0.0,0.0,0.0,90.0,1.0,23.0,0.8
54,121,0.0,0.0,0.0,90.0,1.0,20.0,0.9
54,122,0.0,0.0,0.0,90.0,1.0,22.0,0.9
54,123,0.0,0.0,0.0,90.0,1.0,22.0,1.0
