nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
50,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.4
50,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.2
50,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.5
50,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.7
50,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.0
50,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.2
50,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.4
50,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.5
50,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.6
50,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.7
50,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.9
50,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.9
50,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.1
50,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.1
50,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.2
50,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.3
51,119,0.0,0.0,0.0,90.0,1.0,20.0,1.1
51,120,0.0,0.0,0.0,90.0,1.0,20.0,1.0
51,121,0.0,0.0,0.0,85.0,1.0,20.0,1.1
51,122,0.0,0.0,0.0,85.0,1.0,21.0,1.2
51,123,0.0,0.0,0.0,85.0,1.0,20.0,1.2
51,124,0.0,0.0,0.0,80.0,1.0,19.0,1.3
51,125,0.0,0.0,0.0,85.0,1.0,17.0,1.3
51,126,0.0,0.0,0.0,85.0,1.0,17.0,1.4
51,127,0.0,0.0,0.0,80.0,1.0,18.0,1.5
51,128,0.0,0.0,0.0,80.0,1.0,18.0,1.5
51,129,0.0,0.0,0.0,85.0,1.0,16.0,1.4
51,130,0.0,0.0,0.0,85.0,1.0,16.0,1.3
51,131,0.0,0.0,0.0,80.0,1.0,16.0,1.2
51,132,0.0,0.0,0.0,80.0,1.0,12.0,1.1
51,133,0.0,0.0,0.0,80.0,1.0,14.0,1.2
51,134,0.0,0.0,0.0,80.0,1.0,17.0,1.2
51,135,0.0,0.0,0.0,80.0,1.0,17.0,1.4
52,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.5
52,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.3
52,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.3
52,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.4
52,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.5
52,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.5
