nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,1.8
50,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.0
50,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.5
50,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.4
50,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.5
50,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.4
50,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.5
50,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.4
50,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.2
50,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.2
50,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.1
50,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
50,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
50,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
50,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
50,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
50,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
51,119,0.0,30.0,0.0,85.0,4.0,18.0,0.9
51,120,0.0,30.0,0.0,80.0,4.0,18.0,1.0
51,121,0.0,30.0,0.0,75.0,4.0,18.0,1.2
51,122,0.0,30.0,0.0,75.0,4.0,18.0,1.4
51,123,0.0,30.0,0.0,75.0,4.0,17.0,1.4
51,124,0.0,30.0,0.0,70.0,4.0,17.0,1.5
51,125,0.0,30.0,0.0,75.0,4.0,15.0,1.5
51,126,0.0,30.0,0.0,75.0,4.0,15.0,1.5
51,127,0.0,30.0,0.0,75.0,4.0,15.0,1.4
51,128,0.0,30.0,0.0,75.0,4.0,15.0,1.4
51,129,0.0,30.0,0.0,75.0,4.0,13.0,1.4
51,130,0.0,30.0,0.0,75.0,4.0,13.0,1.3
51,131,0.0,30.0,0.0,75.0,4.0,14.0,1.2
51,132,0.0,30.0,0.0,70.0,4.0,12.0,1.0
51,133,0.0,30.0,0.0,75.0,4.0,13.0,0.9
51,134,0.0,30.0,0.0,75.0,4.0,14.0,0.8
51,135,0.0,30.0,0.0,75.0,4.0,14.0,0.9
52,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.0
52,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.8
52,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.8
52,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.6
52,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.5
52,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.4
52,125,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
52,126,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
52,127,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.4
52,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.3
52,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.4
52,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.5
52,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.5
52,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.5
52,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.4
52,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.5
52,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.3
53,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.2
53,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.0
53,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
53,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
53,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
53,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
53,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
53,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
53,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
53,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.0
53,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9
53,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.8
53,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.6
53,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.7
53,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.6
53,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.6
53,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.5
54,119,0.0,30.0,0.0,75.0,4.0,15.0,1.5
54,120,0.0,30.0,0.0,70.0,4.0,15.0,1.3
54,121,0.0,30.0,0.0,70.0,4.0,12.0,1.2
54,122,0.0,30.0,0.0,70.0,4.0,14.0,1.2
54,123,0.0,30.0,0.0,75.0,4.0,14.0,1.2
54,124,0.0,30.0,0.0,80.0,4.0,15.0,1.4
54,125,0.0,30.0,0.0,75.0,4.0,14.0,1.5
54,126,0.0,30.0,0.0,75.0,4.0,15.0,1.6
54,127,0.0,30.0,0.0,75.0,4.0,14.0,1.5
54,128,0.0,30.0,0.0,75.0,4.0,15.0,1.2
54,129,0.0,30.0,0.0,80.0,4.0,14.0,1.0
54,130,0.0,30.0,0.0,80.0,4.0,15.0,0.7
54,131,0.0,30.0,0.0,80.0,4.0,15.0,0.5
54,132,0.0,30.0,0.0,75.0,4.0,15.0,0.5
54,133,0.0,20.0,0.0,65.0,3.0,17.0,0.6
54,134,0.0,20.0,0.0,65.0,3.0,16.0,0.6
54,135,0.0,20.0,0.0,65.0,3.0,14.0,0.7
55,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.9
55,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.0
55,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.8
55,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.6
55,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.4
55,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.2
55,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.0
55,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.8
55,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.6
55,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.5
